Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"17019005702","14000US17019005702","Census Tract 57.02, Champaign County, Illinois","Census Tract 57.02, Champaign County, Illinois","il","140","00","ACSSF","0015517",,,,,"17","019",,,,"005702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,2630,392.8928,6.69393835029352,1258,194,18,57,100,0,75,111,47,61,35,55,212,83,79,45,86,46107,46107,75233,35750,,15625,,,,,68846,73253.6565977742,53505,86655.6129032258,33140,47442.2360248447,29484,39327,46786,27434,16557,40439,8633,37031,,20637,34053,29453,44424,43634,,22155,35985,65329,51591,22233,,2499,22295,13852,43324,46107,97813,34848,1258,943,315,1258,943,315,1258,105,1153,1258,443,815,1258,324,934,1258,12,1246,1258,0,1258,1258,164,1094,1258,80,1178,34918,42433,14025,,7879,,,,32768,43193
"17019005800","14000US17019005800","Census Tract 58, Champaign County, Illinois","Census Tract 58, Champaign County, Illinois","il","140","00","ACSSF","0015518",,,,,"17","019",,,,"005800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,3796,6839.96,0.554973999879536,1613,259,62,150,66,94,64,15,82,8,71,101,167,125,143,131,75,52031,52031,56838,,,16250,,,2499,42841,62604,71388.4686918785,118452,120420.766773163,22250,40142.4518743668,19627,30653,65893,14432,15255,55446,6736,40994,,,35156,43864,40932,53484,,,44375,47132,65764,33110,,,34239,35227,29777,52031,111250,19557,1613,1345,268,1613,1323,290,1613,230,1383,1613,661,952,1613,161,1452,1613,0,1613,1613,0,1613,1613,226,1387,1613,126,1487,30742,33843,,,12416,,24219,619,26132,34014
"17019005900","14000US17019005900","Census Tract 59, Champaign County, Illinois","Census Tract 59, Champaign County, Illinois","il","140","00","ACSSF","0015519",,,,,"17","019",,,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7311,7311,14449.96,0.505952923334008,1183,538,121,41,110,87,47,38,8,10,21,70,30,14,13,13,22,11205,11205,11042,9954,,11587,,,23816,64152,9973,26483.2628909552,45875,95386.8217054264,9778,18050.0948766603,3691,4500,36078,3997,3340,21125,3269,21992,,,20278,17386,25074,23913,,,30341,11500,26471,20976,,,19875,33173,21016,11205,180096,10676,1183,1036,147,1183,1036,147,1183,89,1094,1183,189,994,1183,0,1183,1183,9,1174,1183,9,1174,1183,0,1183,1183,88,1095,6512,7098,6827,,5064,,5646,5191,9004,6871
"17019006000","14000US17019006000","Census Tract 60, Champaign County, Illinois","Census Tract 60, Champaign County, Illinois","il","140","00","ACSSF","0015520",,,,,"17","019",,,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743,3743,865.2193,4.32607100882321,617,232,23,118,59,11,49,0,7,29,40,7,31,7,0,0,4,17696,17696,21078,16250,,16042,,,17604,,20776,24446.3533225284,22125,28544.40433213,11848,21107.6470588235,3290,3255,31397,2751,3359,32188,3191,20441,,,,16354,21314,22132,,,,31111,21635,17844,,,,4205,19688,17696,116964,17500,617,465,152,617,465,152,617,18,599,617,119,498,617,0,617,617,0,617,617,0,617,617,9,608,617,44,573,5485,5983,3124,,5715,,3361,5462,3123,6411
"17019010100","14000US17019010100","Census Tract 101, Champaign County, Illinois","Census Tract 101, Champaign County, Illinois","il","140","00","ACSSF","0015521",,,,,"17","019",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756,4756,812.9172,5.85053444263062,2152,218,201,239,137,162,159,67,98,70,129,301,251,54,10,43,13,33701,33701,36972,22730,,,,60952,14306,61488,36472,45331.3661710037,52647,56371.6549295775,23909,31798.3267716535,21722,30071,32323,16486,18026,30548,10893,26754,27955,16590,25717,32813,33304,30369,30704,15430,26893,33750,48194,25054,13173,21204,23958,31696,31731,33701,52500,25194,2152,1633,519,2152,1530,622,2152,253,1899,2152,395,1757,2152,644,1508,2152,128,2024,2152,91,2061,2152,532,1620,2152,314,1838,20780,23563,12993,,38185,,27194,3966,18847,23931
"17019010204","14000US17019010204","Census Tract 102.04, Champaign County, Illinois","Census Tract 102.04, Champaign County, Illinois","il","140","00","ACSSF","0015522",,,,,"17","019",,,,"010204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610,4610,1107.092,4.16406408060578,2001,168,164,107,121,143,117,134,125,102,204,117,245,127,48,45,34,41384,41384,43384,28851,,75469,,,47063,32361,47881,60055.972013993,54911,75922.4961479199,29696,28870.9815078236,27844,32324,41279,17365,19892,33915,10846,31652,19152,29536,34788,41635,56250,35364,19107,33169,47232,36250,81111,25208,20035,21932,25313,46029,40119,41384,52989,26250,2001,1570,431,2001,1536,465,2001,148,1853,2001,381,1620,2001,522,1479,2001,71,1930,2001,35,1966,2001,349,1652,2001,300,1701,26192,28306,14955,,29825,,29636,15152,13541,30611
"17019010300","14000US17019010300","Census Tract 103, Champaign County, Illinois","Census Tract 103, Champaign County, Illinois","il","140","00","ACSSF","0015523",,,,,"17","019",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292,3292,1009.247,3.26183789268522,1286,62,94,84,206,131,154,44,76,29,88,120,130,29,14,25,0,31854,31854,32632,30265,,49306,,21036,51333,22107,32829,42710.7309486781,36250,46604.6954314721,27143,30591.9678714859,21534,23693,27554,18079,20446,25000,12944,25382,21464,25088,22375,31150,26818,27750,23333,26304,30274,27375,52639,22250,11382,24506,19923,31200,26705,31854,53162,30256,1286,1103,183,1286,1093,193,1286,32,1254,1286,138,1148,1286,196,1090,1286,70,1216,1286,53,1233,1286,122,1164,1286,218,1068,16769,17968,15696,,26638,,10162,12898,11111,18443
"17019010400","14000US17019010400","Census Tract 104, Champaign County, Illinois","Census Tract 104, Champaign County, Illinois","il","140","00","ACSSF","0015524",,,,,"17","019",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030,5030,28.00982,179.579889945436,2126,106,131,133,113,133,153,119,62,86,240,257,288,158,59,77,11,51023,51023,51818,14868,,53438,,48750,,4402,52254,58014.3932267168,56381,63587.0860927152,33839,41599.1883116883,25952,33560,45239,19821,20270,30000,12256,31553,19904,29792,31250,41739,45069,38625,25750,36528,40119,48750,47083,23042,17188,21324,21630,40109,43750,51023,59468,24865,2126,1730,396,2126,1644,482,2126,358,1768,2126,547,1579,2126,610,1516,2126,62,2064,2126,62,2064,2126,462,1664,2126,351,1775,24628,25275,17275,,20820,,13096,3797,5476,25909
"17019010500","14000US17019010500","Census Tract 105, Champaign County, Illinois","Census Tract 105, Champaign County, Illinois","il","140","00","ACSSF","0015525",,,,,"17","019",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4064,4064,28.04286,144.92103592758,1608,55,39,65,70,48,79,69,61,22,155,287,327,178,70,45,38,66569,66569,66544,,,,,,83375,90882,65564,75975.6218905473,72895,85589.9838449111,33235,39551.6216216216,32581,41031,50913,27045,23678,38681,14583,39125,37813,33403,41111,43843,42083,44564,29583,43000,48281,65972,44306,31090,,24012,29688,43056,41354,66569,70553,44712,1608,1329,279,1608,1285,323,1608,238,1370,1608,506,1102,1608,460,1148,1608,43,1565,1608,16,1592,1608,345,1263,1608,271,1337,30165,30397,,,27572,,,22754,35682,30294
"17019010601","14000US17019010601","Census Tract 106.01, Champaign County, Illinois","Census Tract 106.01, Champaign County, Illinois","il","140","00","ACSSF","0015526",,,,,"17","019",,,,"010601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5468,5468,425.6943,12.8448988952845,2046,46,17,38,119,84,65,106,87,70,205,343,287,244,111,90,134,68951,68951,69105,,,73750,,,58611,75192,69074,84221.1143695015,76995,96075.2628324057,32031,36029.8368298368,36203,45955,53774,26604,27025,40185,15909,39900,32344,30446,34063,44321,63194,47744,42031,41683,37011,66343,80250,33806,2499,9439,25724,37955,55833,68951,74344,37685,2046,1862,184,2046,1828,218,2046,273,1773,2046,698,1348,2046,368,1678,2046,28,2018,2046,33,2013,2046,340,1706,2046,147,1899,31733,32480,7598,,22377,,,7292,13059,33100
