Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"04013103609","14000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","Census Tract 1036.09, Maricopa County, Arizona","az","140","00","ACSSF","0003892",,,,,"04","013",,,,"103609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141,5141,5340.139,0.962709093632866,5141,2633,2508,5141,448,296,340,124,921,1020,559,646,431,152,160,44,5141,3818,409,89,164,0,493,168,2310,1341,701,640,255,385,969,515,454,36831,2642,2310,641,1669,5141,1021,1110,2131,3010
"04013103611","14000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","Census Tract 1036.11, Maricopa County, Arizona","az","140","00","ACSSF","0003893",,,,,"04","013",,,,"103611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5279,5279,2621.38,2.01382477447772,5279,2543,2736,5279,228,281,218,122,380,646,573,1173,961,482,186,29,5279,4474,118,0,362,0,153,172,2317,1600,1226,374,174,200,717,368,349,82596,2409,2317,1944,373,5270,77,623,700,4570
"04013103612","14000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","Census Tract 1036.12, Maricopa County, Arizona","az","140","00","ACSSF","0003894",,,,,"04","013",,,,"103612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944,4944,6477.253,0.763286548045782,4944,2186,2758,4944,257,224,455,384,495,785,651,850,520,168,138,17,4944,4336,133,0,109,0,166,200,2168,1174,788,386,117,269,994,429,565,54516,2505,2168,1177,991,4907,494,775,1269,3638
"04013103614","14000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","Census Tract 1036.14, Maricopa County, Arizona","az","140","00","ACSSF","0003895",,,,,"04","013",,,,"103614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358,3358,3965.305,0.846845236348585,3358,1653,1705,3358,94,163,175,247,255,361,313,616,593,329,158,54,3358,3084,0,37,0,0,226,11,1216,945,807,138,95,43,271,114,157,76491,1291,1216,1138,78,3344,180,151,331,3013
"04013103615","14000US04013103615","Census Tract 1036.15, Maricopa County, Arizona","Census Tract 1036.15, Maricopa County, Arizona","az","140","00","ACSSF","0003896",,,,,"04","013",,,,"103615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4321,4321,1582.911,2.72977982909573,4321,2271,2050,4321,370,493,244,174,633,801,672,439,325,77,84,9,4321,2826,393,0,0,0,1035,67,1584,951,545,406,93,313,633,388,245,26139,1984,1584,526,1058,4321,1365,1501,2866,1455
"04013103701","14000US04013103701","Census Tract 1037.01, Maricopa County, Arizona","Census Tract 1037.01, Maricopa County, Arizona","az","140","00","ACSSF","0003897",,,,,"04","013",,,,"103701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725,4725,4760.111,0.992623904048976,4725,2312,2413,4725,101,203,501,101,419,757,714,901,641,206,157,24,4725,4086,122,168,273,0,34,42,2193,1141,814,327,93,234,1052,582,470,51155,2525,2193,1136,1057,4725,619,639,1258,3467
"04013103702","14000US04013103702","Census Tract 1037.02, Maricopa County, Arizona","Census Tract 1037.02, Maricopa County, Arizona","az","140","00","ACSSF","0003898",,,,,"04","013",,,,"103702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356,3356,1842.552,1.82138643113404,3356,2006,1350,3356,330,157,86,76,214,712,368,425,678,271,27,12,3356,2780,187,224,14,0,134,17,1607,689,478,211,64,147,918,530,388,56782,1774,1607,1007,600,3356,174,526,700,2656
"04013103900","14000US04013103900","Census Tract 1039, Maricopa County, Arizona","Census Tract 1039, Maricopa County, Arizona","az","140","00","ACSSF","0003899",,,,,"04","013",,,,"103900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713,5713,5866.932,0.973762812800677,5713,2794,2919,5713,473,162,312,320,778,918,748,714,715,433,111,29,5713,4245,324,175,148,0,805,16,2295,1598,1011,587,202,385,697,219,478,50652,2504,2295,1455,840,5713,693,1221,1914,3799
"04013104000","14000US04013104000","Census Tract 1040, Maricopa County, Arizona","Census Tract 1040, Maricopa County, Arizona","az","140","00","ACSSF","0003900",,,,,"04","013",,,,"104000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6525,6525,6591.264,0.98994667156759,6525,3078,3447,6525,314,410,571,247,760,603,1080,1222,389,530,309,90,6525,5250,128,16,323,0,671,137,2550,1513,1064,449,79,370,1037,541,496,45985,2783,2550,1420,1130,6469,1290,1213,2503,3966
"04013104100","14000US04013104100","Census Tract 1041, Maricopa County, Arizona","Census Tract 1041, Maricopa County, Arizona","az","140","00","ACSSF","0003901",,,,,"04","013",,,,"104100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5762,5762,5819.683,0.990088371065812,5762,2820,2942,5762,203,264,449,453,834,608,824,884,585,420,184,54,5762,4901,83,59,266,0,392,61,2169,1587,935,652,85,567,582,405,177,47209,2561,2169,1467,702,5717,705,1331,2036,3681
