Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Census Tract 9712","Census Tract 9712, Columbia County, Wisconsin","55021971200","140","00","55","021","17",,"971200",5200,5200,322.3756,16.1302538853462,16.2309,16.13025,0.1006426,5200,2547,2653,5200,345,349,325,214,362,760,665,846,596,352,255,131,38.8,37.5,40,5200,4979,48,13,32,1,57,70,5200,5035,4889,46,10,31,1,2,56,165,90,2,3,1,0,55,14,2214,1396,1081,315,100,215,818,678,140,5200,5155,4171,1396,1081,1442,58,27,13,33,121,984,678,140,166,45,45,0,2384,2214,1452,762,2384,2214,170,170,74,61,35
"Census Tract 1","Census Tract 1, Dane County, Wisconsin","55025000100","140","00","55","025","19",,"000100",2604,2604,3239.636,0.803794071632764,0.8037941,0.8037941,0,2604,1265,1339,2604,159,115,96,72,203,562,318,357,393,184,93,52,37.7,38.2,37,2604,2176,139,19,129,1,40,100,2604,2404,2053,134,11,129,0,3,74,200,123,5,8,0,1,37,26,1279,644,508,136,36,100,635,470,165,2604,2599,1781,644,508,525,12,18,18,20,36,818,470,165,183,5,0,5,1375,1279,870,409,1375,1279,96,96,25,61,10
"Census Tract 2.01","Census Tract 2.01, Dane County, Wisconsin","55025000201","140","00","55","025","19",,"000201",2149,2149,2983.716,0.720242719271286,0.7214354,0.7202427,0.00119267,2149,1042,1107,2149,96,101,109,71,108,287,280,318,379,209,148,43,45.8,44,48.1,2149,1897,38,12,113,0,35,54,2149,2079,1862,37,9,113,0,7,51,70,35,1,3,0,0,28,3,1016,610,512,98,33,65,406,312,94,2149,2149,1627,610,512,446,5,17,11,9,17,522,312,94,116,0,0,0,1045,1016,822,194,1045,1016,29,29,4,20,5
"Census Tract 2.02","Census Tract 2.02, Dane County, Wisconsin","55025000202","140","00","55","025","19",,"000202",3016,3016,3258.148,0.925679192336026,0.9256792,0.9256792,0,3016,1441,1575,3016,116,154,197,113,191,443,354,444,490,266,189,59,43.6,41.6,45.3,3016,2562,85,3,253,0,36,77,3016,2884,2478,83,3,252,0,3,65,132,84,2,0,1,0,33,12,1403,813,690,123,34,89,590,473,117,3016,3004,2279,813,690,698,12,22,8,18,18,725,473,117,135,12,0,12,1495,1403,849,554,1495,1403,92,92,52,27,13
"Census Tract 2.04","Census Tract 2.04, Dane County, Wisconsin","55025000204","140","00","55","025","19",,"000204",5012,5012,4845.293,1.0344059509156,1.034406,1.034406,0,5012,2360,2652,5012,360,278,232,157,501,1013,566,574,687,373,220,51,34.5,33.2,36,5012,3479,459,16,805,0,95,158,5012,4736,3342,451,12,801,0,4,126,276,137,8,4,4,0,91,32,2423,1301,988,313,45,268,1122,917,205,5012,5002,3650,1301,988,1203,26,30,21,33,48,1352,917,205,230,10,0,10,2569,2423,1203,1220,2569,2423,146,146,83,53,10
"Census Tract 2.05","Census Tract 2.05, Dane County, Wisconsin","55025000205","140","00","55","025","19",,"000205",5131,5131,3244.715,1.58134091740966,1.5942,1.581341,0.01285913,5131,2371,2760,5131,211,256,317,222,315,532,516,902,1009,473,277,101,47.7,45.8,49,5131,4537,75,9,350,2,49,109,5131,4989,4446,73,9,349,2,8,102,142,91,2,0,1,0,41,7,2358,1407,1251,156,38,118,951,800,151,5131,5127,4010,1407,1251,1242,10,20,17,23,40,1117,800,151,166,4,0,4,2469,2358,1707,651,2469,2358,111,111,52,45,14
"Census Tract 3","Census Tract 3, Dane County, Wisconsin","55025000300","140","00","55","025","19",,"000300",5380,5380,5913.97,0.909710392480583,0.9097104,0.9097104,0,5380,2476,2904,5380,229,219,186,106,598,1352,545,559,616,393,353,224,35,33.3,37.7,5380,3708,159,18,1315,1,49,130,5380,5208,3601,154,18,1313,1,7,114,172,107,5,0,2,0,42,16,2950,1151,943,208,47,161,1799,1393,406,5380,5375,3117,1151,943,857,10,58,22,37,39,2258,1393,406,459,5,5,0,3130,2950,907,2043,3130,2950,180,180,61,109,10
"Census Tract 4.01","Census Tract 4.01, Dane County, Wisconsin","55025000401","140","00","55","025","19",,"000401",3148,3148,4489.535,0.701186260322442,0.7011862,0.7011862,0,3148,1471,1677,3148,182,188,175,111,134,368,414,538,492,269,179,98,45,44,45.5,3148,2906,27,13,120,1,19,62,3148,3089,2875,27,8,119,1,7,52,59,31,0,5,1,0,12,10,1400,870,728,142,34,108,530,395,135,3148,3148,2459,870,728,764,20,8,11,22,36,689,395,135,159,0,0,0,1473,1400,1258,142,1473,1400,73,73,1,55,17
"Census Tract 4.02","Census Tract 4.02, Dane County, Wisconsin","55025000402","140","00","55","025","19",,"000402",2451,2451,2263.716,1.08273320185267,1.111372,1.082733,0.02863836,2451,1172,1279,2451,143,134,144,92,126,348,319,361,371,206,158,49,42.4,41.3,43.6,2451,2048,84,21,162,1,77,58,2451,2290,1977,84,11,161,1,3,53,161,71,0,10,1,0,74,5,1054,696,580,116,31,85,358,274,84,2451,2442,1991,696,580,599,23,30,13,21,29,451,274,84,93,9,0,9,1090,1054,843,211,1090,1054,36,36,12,14,10
"Census Tract 4.05","Census Tract 4.05, Dane County, Wisconsin","55025000405","140","00","55","025","19",,"000405",5761,5761,3457.509,1.66622856939878,1.683836,1.666229,0.01760703,5761,2869,2892,5761,356,298,236,120,861,1627,837,614,468,231,86,27,29.7,29.4,30,5761,4265,292,25,757,1,236,185,5761,5186,4001,281,23,754,1,4,122,575,264,11,2,3,0,232,63,2863,1221,917,304,97,207,1642,1157,485,5761,5753,3579,1221,917,1141,18,74,43,58,107,2174,1157,485,532,8,0,8,3079,2863,1020,1843,3079,2863,216,216,138,57,21
