Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Block Group 5","Block Group 5, Census Tract 104, Champaign County, Illinois","1965289","0","150","00","2","3","170190104005","17","019","010400","5",1123,1123,1479.964,0.75880235738544,0.7588024,0.7588024,0,1123,545,578,1123,71,63,57,24,101,149,126,183,172,101,62,14,43.2,41.4,44.5,1123,1047,30,4,5,2,4,31,1123,1102,1036,30,3,5,2,2,24,21,11,0,1,0,0,2,7,496,316,247,69,17,52,180,144,36,1123,1123,901,316,247,268,19,5,12,6,28,222,144,36,42,0,0,0,534,496,367,129,534,496,38,38,12,16,10
"Block Group 2","Block Group 2, Census Tract 105, Champaign County, Illinois","97098393","109842","150","00","2","3","170190105002","17","019","010500","2",638,638,17.01792,37.4899003393066,37.53231,37.4899,0.04241024,638,314,324,638,38,32,44,31,43,51,71,129,88,58,37,16,45.9,46.4,45.5,638,625,2,2,2,0,0,7,638,635,624,2,2,2,0,0,5,3,1,0,0,0,0,0,2,248,188,167,21,8,13,60,49,11,638,638,564,188,167,177,10,2,3,7,10,74,49,11,14,0,0,0,269,248,216,32,269,248,21,21,11,4,6
"Block Group 1","Block Group 1, Census Tract 106.03, Champaign County, Illinois","16628221","783","150","00","2","3","170190106031","17","019","010603","1",1542,1542,240.1797,6.42019229432723,6.420495,6.420192,0.000302318,1542,765,777,1542,91,103,117,60,132,204,189,243,209,125,56,13,38.2,37.4,38.9,1542,1457,24,0,12,0,11,38,1542,1502,1426,24,0,12,0,4,36,40,31,0,0,0,0,7,2,648,415,271,144,40,104,233,184,49,1542,1542,1248,415,271,452,28,9,10,10,53,294,184,49,61,0,0,0,685,648,549,99,685,648,37,37,9,16,12
"Block Group 2","Block Group 2, Census Tract 106.03, Champaign County, Illinois","25719938","0","150","00","2","3","170190106032","17","019","010603","2",2517,2517,253.461,9.93052400242781,9.930524,9.930524,0,2517,1219,1298,2517,117,197,207,132,120,210,363,461,342,168,104,96,43.1,43.3,42.9,2517,2343,51,6,77,0,8,32,2517,2476,2310,51,6,77,0,0,32,41,33,0,0,0,0,8,0,975,735,685,50,15,35,240,198,42,2517,2517,2230,735,685,754,13,6,11,13,13,287,198,42,47,0,0,0,1062,975,796,179,1062,975,87,87,37,47,3
"Block Group 1","Block Group 1, Census Tract 106.04, Champaign County, Illinois","151416593","83344","150","00","2","3","170190106041","17","019","010604","1",1844,1844,31.54171,58.4622755008904,58.49445,58.46228,0.0321793,1844,968,876,1844,111,84,97,66,257,146,201,306,295,167,95,19,42.9,40.7,44.3,1844,1547,181,2,53,0,6,55,1844,1807,1517,181,2,53,0,0,54,37,30,0,0,0,0,6,1,786,511,417,94,30,64,275,187,88,1844,1844,1451,511,417,415,26,18,11,20,33,393,187,88,118,0,0,0,869,786,499,287,869,786,83,83,32,17,34
"Block Group 2","Block Group 2, Census Tract 106.04, Champaign County, Illinois","106818679","3293","150","00","2","3","170190106042","17","019","010604","2",1307,1307,31.69028,41.2429246776433,41.2442,41.24292,0.001271434,1307,651,656,1307,65,75,78,67,97,143,177,220,197,100,67,21,42.8,42.3,43.3,1307,1214,27,5,31,0,12,18,1307,1287,1212,27,4,30,0,0,14,20,2,0,1,1,0,12,4,536,366,298,68,27,41,170,135,35,1307,1307,1099,366,298,333,30,1,3,23,45,208,135,35,38,0,0,0,581,536,393,143,581,536,45,45,17,7,21
"Block Group 5","Block Group 5, Census Tract 107, Champaign County, Illinois","11046113","75093","150","00","2","3","170190107005","17","019","010700","5",781,781,183.1215,4.26492825449384,4.293922,4.264928,0.02899357,781,394,387,781,64,58,54,39,55,108,101,138,103,37,17,7,36.3,35.7,37.1,781,756,2,0,1,0,3,19,781,774,752,2,0,1,0,0,19,7,4,0,0,0,0,3,0,285,224,181,43,18,25,61,48,13,781,781,704,224,181,256,14,1,2,5,21,77,48,13,16,0,0,0,303,285,225,60,303,285,18,18,11,6,1
"Block Group 6","Block Group 6, Census Tract 107, Champaign County, Illinois","170642343","463755","150","00","2","3","170190107006","17","019","010700","6",1577,1577,23.93551,65.8853770751061,66.06443,65.88538,0.1790568,1577,780,797,1577,75,108,139,77,92,113,246,273,222,152,61,19,42.6,42.9,42.3,1577,1556,1,3,9,1,0,7,1577,1565,1547,1,3,7,1,0,6,12,9,0,0,2,0,0,1,583,494,455,39,15,24,89,80,9,1577,1577,1479,494,455,480,18,4,3,10,15,98,80,9,9,0,0,0,605,583,522,61,605,583,22,22,1,9,12
"Block Group 2","Block Group 2, Census Tract 108, Champaign County, Illinois","76808265","315413","150","00","2","3","170190108002","17","019","010800","2",865,865,29.16795,29.6558377876654,29.77762,29.65584,0.1217816,865,440,425,865,53,68,68,37,52,90,110,143,133,64,36,11,40.5,40,40.9,865,852,4,0,2,0,0,7,865,855,846,3,0,1,0,0,5,10,6,1,0,1,0,0,2,339,255,218,37,12,25,84,64,20,865,865,755,255,218,253,4,2,3,8,12,110,64,20,26,0,0,0,358,339,302,37,358,339,19,19,4,9,6
"Block Group 1","Block Group 1, Census Tract 109, Champaign County, Illinois","1309294","0","150","00","2","3","170190109001","17","019","010900","1",1016,1016,2009.807,0.505521261102368,0.5055212,0.5055212,0,1016,501,515,1016,63,99,92,40,65,102,134,161,125,71,45,19,38.4,38.1,38.9,1016,1002,5,2,0,0,0,7,1016,1015,1001,5,2,0,0,0,7,1,1,0,0,0,0,0,0,378,292,242,50,22,28,86,76,10,1016,1016,918,292,242,330,18,2,3,8,23,98,76,10,12,0,0,0,399,378,341,37,399,378,21,21,2,13,6
